County,Population,Num_Deaths,Pct_Deaths,Num_Uninsured,Pct_Uninsured,Pct_free_lunch,Pct_over_65,Pct_rural,Pct_Homeowners,Rate_HS_Grad,Pct_med_Income
Adams,27698,573,2.07,1841,6.65,55.81,18.46,89.03,70.82,86.29,73.49584355
Allen,102351,1494,1.46,4740,4.63,43.93,18.08,25.89,67.07,82.21,99.2624012
Ashland,53484,725,1.36,2868,5.36,45.08,19.15,61.94,73.79,87.96,89.52371218
Ashtabula,97241,1793,1.84,5817,5.98,53.91,19.63,46.37,70.52,84.63,80.72363042
Athens,65327,749,1.15,3839,5.88,51.32,13.65,43.17,57.84,87.09,74.3066912
Auglaize,45656,520,1.14,1811,3.97,39.33,18.94,39.14,75.73,86.38,109.4082175
Belmont,67006,1148,1.71,3146,4.7,49.9,21.4,54.66,76.42,90.07,85.45584628
Brown,43432,803,1.85,2303,5.3,53.34,18.34,76.56,72.36,85.84,99.55198964
Butler,383134,5229,1.36,18513,4.83,37.04,15.13,9.34,68.12,87.19,116.8761924
Carroll,26914,442,1.64,1510,5.61,49.39,21.61,70.95,78.65,90.65,97.09559826
Champaign,38885,590,1.52,1802,4.63,44.72,18.49,70.82,73.16,87.23,105.7457754
Clark,134083,2575,1.92,7500,5.59,43.33,19.74,23.61,65.99,76.28,86.59035159
Clermont,206428,2823,1.37,9946,4.82,34.75,16.91,22.72,74.16,92,117.0686836
Clinton,41968,741,1.77,2037,4.85,43.5,17.56,54.64,64.64,90.03,90.062006
Columbiana,101883,1734,1.7,5969,5.86,48.44,21.17,43.86,73.52,85.52,89.76049332
Coshocton,36600,561,1.53,2276,6.22,55.82,19.82,61.47,73.98,89.44,84.62626056
Crawford,41494,795,1.92,2005,4.83,53.69,21.38,35.26,69.68,93.3,84.29408558
Cuyahoga,1235072,18756,1.52,64175,5.2,31.9,18.64,0.58,58.24,80.17,89.43683565
Darke,51113,776,1.52,2844,5.56,50.13,19.93,66.3,72.8,92.03,96.7974925
Defiance,38087,546,1.43,1675,4.4,51.84,19.22,43.85,76.28,90.63,103.7714636
Delaware,209177,1439,0.69,6450,3.08,14.16,14.14,19.31,81.38,95.38,187.81003
Erie,74266,1231,1.66,3087,4.16,34.09,22.55,26.48,69.25,66.74,103.5534206
Fairfield,157574,1875,1.19,6823,4.33,36.08,16.08,34.71,73.93,92.64,122.2778686
Fayette,28525,583,2.04,1463,5.13,52.11,18.29,47.75,64.91,82.5,86.91571273
Franklin,1316756,15822,1.2,86703,6.58,37.59,12.39,1.35,53.39,68.81,110.1253748
Fulton,42126,567,1.35,2038,4.84,37.63,18.44,56.16,79.06,93.35,109.5904879
Gallia,29898,615,2.06,1814,6.07,51.95,19.29,81.35,74.48,84.71,81.92627419
Geauga,93649,916,0.98,4763,5.09,15.55,21.15,63.97,86.31,94.52,136.0469474
Greene,168937,1981,1.17,7118,4.21,21.41,17.54,14.91,66.09,86.77,118.7465931
Guernsey,38875,738,1.9,2370,6.1,56.33,20.07,61.42,71.46,81.76,82.2482284
Hamilton,817473,11423,1.4,40518,4.96,34.97,15.74,2.23,57.91,81.68,102.6352548
Hancock,75783,1008,1.33,3413,4.5,38.73,17.68,31.11,68.81,90.97,106.8411011
Hardin,31365,456,1.45,1562,4.98,61.82,16.3,55.38,71.05,89.62,87.14056964
Harrison,15040,267,1.78,776,5.16,57.58,21.81,84.11,78.88,92.5,85.4064459
Henry,27006,344,1.27,1125,4.17,50.43,19.13,69.08,77.37,88.28,104.5090624
Highland,43161,729,1.69,2822,6.54,64.71,18.92,73,68.44,92.35,80.27732352
Hocking,28264,509,1.8,1537,5.44,49.01,19.47,70.84,75.13,86,86.9037885
Holmes,43960,407,0.93,5862,13.33,33.39,14,92.99,75.5,84.02,106.6298719
Huron,58266,901,1.55,3303,5.67,55.87,17.64,50.3,70.91,94.13,96.59307713
Jackson,32413,738,2.28,1887,5.82,51.57,17.64,64.58,69.23,88.78,86.3160943
Jefferson,65325,1277,1.95,2916,4.46,59.04,22.07,38.98,68.99,90.85,81.17334424
Knox,62322,800,1.28,3133,5.03,44.48,18.61,55.7,72.01,91.06,102.1344372
