County,Age_Range,Date_Of_Death,Death_Due_To_Illness_Count
Cuyahoga,80+,12/16/2020,13
Cuyahoga,80+,12/29/2020,11
Cuyahoga,80+,12/21/2020,10
Cuyahoga,80+,12/25/2020,10
Cuyahoga,80+,12/12/2020,9
Cuyahoga,80+,12/13/2020,9
Cuyahoga,80+,12/23/2020,9
Cuyahoga,80+,12/28/2020,9
Cuyahoga,80+,12/30/2020,9
Cuyahoga,80+,12/5/2020,8
Cuyahoga,80+,12/18/2020,8
Cuyahoga,80+,12/19/2020,8
Cuyahoga,80+,12/21/2020,8
Cuyahoga,80+,12/22/2020,8
Hamilton,80+,12/24/2020,8
Cuyahoga,80+,1/1/2021,8
Cuyahoga,80+,1/1/2021,8
Cuyahoga,80+,1/5/2021,8
Montgomery,80+,11/29/2020,7
Summit,80+,12/2/2020,7
Cuyahoga,80+,12/11/2020,7
Cuyahoga,80+,12/13/2020,7
Cuyahoga,80+,12/17/2020,7
Cuyahoga,80+,1/3/2021,7
Cuyahoga,80+,1/7/2021,7
Cuyahoga,80+,1/12/2021,7
Hamilton,80+,1/12/2021,7
Stark,80+,11/20/2020,6
Montgomery,80+,11/22/2020,6
Montgomery,80+,11/23/2020,6
Summit,80+,11/28/2020,6
Cuyahoga,80+,11/29/2020,6
Cuyahoga,80+,12/3/2020,6
Montgomery,80+,12/4/2020,6
Cuyahoga,80+,12/6/2020,6
Cuyahoga,80+,12/6/2020,6
Cuyahoga,80+,12/7/2020,6
Cuyahoga,60-69,12/8/2020,6
Cuyahoga,80+,12/9/2020,6
Cuyahoga,80+,12/14/2020,6
Franklin,80+,12/14/2020,6
Cuyahoga,60-69,12/15/2020,6
Stark,80+,12/17/2020,6
Trumbull,80+,12/19/2020,6
Cuyahoga,80+,12/20/2020,6
Stark,80+,12/23/2020,6
Hamilton,80+,12/25/2020,6
Cuyahoga,80+,12/29/2020,6
Cuyahoga,70-79,12/31/2020,6
Cuyahoga,70-79,12/31/2020,6
Cuyahoga,80+,1/4/2021,6
Cuyahoga,80+,1/6/2021,6
Montgomery,80+,1/9/2021,6
Franklin,80+,1/15/2021,6
Cuyahoga,80+,1/18/2021,6
Cuyahoga,80+,1/29/2021,6
Cuyahoga,80+,4/14/2020,5
Lucas,80+,4/28/2020,5
Summit,80+,5/1/2020,5
Montgomery,80+,11/19/2020,5
Stark,80+,11/19/2020,5
Franklin,80+,11/21/2020,5
Hamilton,80+,11/23/2020,5
Summit,80+,11/23/2020,5
Mahoning,80+,11/27/2020,5
Stark,80+,11/27/2020,5
Cuyahoga,70-79,11/28/2020,5
Cuyahoga,80+,11/30/2020,5
Cuyahoga,70-79,12/1/2020,5
Cuyahoga,80+,12/1/2020,5
Stark,70-79,12/1/2020,5
Cuyahoga,80+,12/2/2020,5
Cuyahoga,70-79,12/4/2020,5
Franklin,80+,12/4/2020,5
Cuyahoga,80+,12/5/2020,5
Summit,80+,12/5/2020,5
Summit,80+,12/6/2020,5
Cuyahoga,70-79,12/7/2020,5
Cuyahoga,80+,12/7/2020,5
Franklin,80+,12/7/2020,5
Cuyahoga,80+,12/8/2020,5
Cuyahoga,80+,12/8/2020,5
Cuyahoga,80+,12/9/2020,5
Summit,80+,12/10/2020,5
Cuyahoga,70-79,12/11/2020,5
Cuyahoga,80+,12/11/2020,5
Cuyahoga,80+,12/14/2020,5
Hamilton,80+,12/14/2020,5
Cuyahoga,80+,12/15/2020,5
Cuyahoga,80+,12/15/2020,5
Franklin,80+,12/16/2020,5
Trumbull,80+,12/16/2020,5
Franklin,70-79,12/17/2020,5
Lorain,80+,12/17/2020,5
Cuyahoga,80+,12/19/2020,5
Hamilton,80+,12/20/2020,5
Summit,80+,12/20/2020,5
Summit,80+,12/20/2020,5
Hamilton,80+,12/21/2020,5
Franklin,80+,12/22/2020,5
Franklin,70-79,12/22/2020,5
Franklin,80+,12/25/2020,5
Hamilton,80+,12/25/2020,5
Hamilton,80+,12/26/2020,5
Stark,80+,12/26/2020,5
Hamilton,80+,12/27/2020,5
Franklin,80+,12/28/2020,5
Cuyahoga,80+,12/31/2020,5
Hamilton,80+,12/31/2020,5
Hamilton,80+,1/1/2021,5
Summit,80+,1/3/2021,5
Cuyahoga,80+,1/4/2021,5
Cuyahoga,80+,1/5/2021,5
Cuyahoga,80+,1/6/2021,5
Franklin,80+,1/7/2021,5
Hamilton,80+,1/7/2021,5
Cuyahoga,80+,1/10/2021,5
Cuyahoga,80+,1/11/2021,5
Cuyahoga,80+,1/16/2021,5
Cuyahoga,80+,1/23/2021,5
Cuyahoga,80+,9/15/2021,5
Mahoning,80+,11/22/2021,5
Franklin,80+,4/11/2020,4
Lucas,70-79,4/17/2020,4
Cuyahoga,70-79,4/20/2020,4
Cuyahoga,80+,4/23/2020,4
Franklin,80+,4/26/2020,4
Summit,80+,4/27/2020,4
Franklin,80+,5/3/2020,4
Franklin,80+,5/7/2020,4
Cuyahoga,80+,5/8/2020,4
Mahoning,80+,5/8/2020,4
Franklin,80+,5/9/2020,4
Lucas,80+,5/13/2020,4
Franklin,80+,5/26/2020,4
Franklin,70-79,6/22/2020,4
Franklin,70-79,7/11/2020,4
Cuyahoga,80+,7/20/2020,4
Cuyahoga,80+,7/29/2020,4
Montgomery,70-79,11/7/2020,4
Hamilton,80+,11/9/2020,4
Montgomery,80+,11/13/2020,4
Montgomery,80+,11/20/2020,4
Hamilton,80+,11/21/2020,4
Summit,80+,11/22/2020,4
Cuyahoga,80+,11/24/2020,4
Cuyahoga,80+,11/25/2020,4
Franklin,80+,11/25/2020,4
Franklin,80+,11/26/2020,4
Hamilton,80+,11/27/2020,4
Cuyahoga,80+,11/28/2020,4
Cuyahoga,80+,11/28/2020,4
