DeathCountyCountyName,DeathCOD39ICDCode39Desc,Deaths,Population,SORT
Adams,Tuberculosis (A16-A19),0,28538,0
Allen,Tuberculosis (A16-A19),1,106717,2
Ashland,Tuberculosis (A16-A19),0,53544,4
Ashtabula,Tuberculosis (A16-A19),0,102156,6
Athens,Tuberculosis (A16-A19),0,64102,8
Auglaize,Tuberculosis (A16-A19),0,45977,10
Belmont,Tuberculosis (A16-A19),0,70430,12
Brown,Tuberculosis (A16-A19),0,44490,14
Butler,Tuberculosis (A16-A19),1,361192,16
Carroll,Tuberculosis (A16-A19),0,29062,18
Champaign,Tuberculosis (A16-A19),2,40127,20
Clark,Tuberculosis (A16-A19),0,139829,22
Clermont,Tuberculosis (A16-A19),0,194346,24
Clinton,Tuberculosis (A16-A19),0,42576,26
Columbiana,Tuberculosis (A16-A19),1,109153,28
Coshocton,Tuberculosis (A16-A19),0,37184,30
Crawford,Tuberculosis (A16-A19),0,44634,32
Cuyahoga,Tuberculosis (A16-A19),3,1301540,34
Darke,Tuberculosis (A16-A19),0,52996,36
Defiance,Tuberculosis (A16-A19),0,39123,38
Delaware,Tuberculosis (A16-A19),0,161796,40
Erie,Tuberculosis (A16-A19),0,77668,42
Fairfield,Tuberculosis (A16-A19),0,142915,44
Fayette,Tuberculosis (A16-A19),0,28908,46
Franklin,Tuberculosis (A16-A19),1,1127174,48
Fulton,Tuberculosis (A16-A19),0,42800,50
Gallia,Tuberculosis (A16-A19),0,30977,52
Geauga,Tuberculosis (A16-A19),0,93742,54
Greene,Tuberculosis (A16-A19),0,159055,56
Guernsey,Tuberculosis (A16-A19),0,40531,58
Hamilton,Tuberculosis (A16-A19),0,801815,60
Hancock,Tuberculosis (A16-A19),1,74712,62
Hardin,Tuberculosis (A16-A19),0,32132,64
Harrison,Tuberculosis (A16-A19),0,15901,66
Henry,Tuberculosis (A16-A19),0,28671,68
Highland,Tuberculosis (A16-A19),0,43845,70
Hocking,Tuberculosis (A16-A19),0,29418,72
Holmes,Tuberculosis (A16-A19),0,41826,74
Huron,Tuberculosis (A16-A19),0,60086,76
Jackson,Tuberculosis (A16-A19),0,33144,78
Jefferson,Tuberculosis (A16-A19),0,70114,80
Knox,Tuberculosis (A16-A19),1,59843,82
Lake,Tuberculosis (A16-A19),0,228930,84
Lawrence,Tuberculosis (A16-A19),0,62748,86
Licking,Tuberculosis (A16-A19),0,162375,88
Logan,Tuberculosis (A16-A19),0,46154,90
Lorain,Tuberculosis (A16-A19),1,298609,92
Lucas,Tuberculosis (A16-A19),1,445482,94
Madison,Tuberculosis (A16-A19),0,42392,96
Mahoning,Tuberculosis (A16-A19),1,243453,98
Marion,Tuberculosis (A16-A19),0,66487,100
Medina,Tuberculosis (A16-A19),0,168775,102
Meigs,Tuberculosis (A16-A19),0,23612,104
Mercer,Tuberculosis (A16-A19),0,41055,106
Miami,Tuberculosis (A16-A19),0,102130,108
Monroe,Tuberculosis (A16-A19),0,14774,110
Montgomery,Tuberculosis (A16-A19),1,540667,112
Morgan,Tuberculosis (A16-A19),0,15175,114
Morrow,Tuberculosis (A16-A19),0,34937,116
Muskingum,Tuberculosis (A16-A19),1,85939,118
Noble,Tuberculosis (A16-A19),0,14614,120
NonOH,Tuberculosis (A16-A19),0,0,122
Ottawa,Tuberculosis (A16-A19),1,41690,124
Paulding,Tuberculosis (A16-A19),0,19735,126
Perry,Tuberculosis (A16-A19),0,35582,128
Pickaway,Tuberculosis (A16-A19),0,55044,130
Pike,Tuberculosis (A16-A19),0,28645,132
Portage,Tuberculosis (A16-A19),0,159148,134
Preble,Tuberculosis (A16-A19),0,42561,136
Putnam,Tuberculosis (A16-A19),0,34752,138
Richland,Tuberculosis (A16-A19),0,126995,140
Ross,Tuberculosis (A16-A19),0,77419,142
Sandusky,Tuberculosis (A16-A19),1,61571,144
Scioto,Tuberculosis (A16-A19),0,78775,146
Seneca,Tuberculosis (A16-A19),1,57289,148
Shelby,Tuberculosis (A16-A19),0,49284,150
Stark,Tuberculosis (A16-A19),0,376877,152
Summit,Tuberculosis (A16-A19),1,544275,154
Trumbull,Tuberculosis (A16-A19),0,214296,156
Tuscarawas,Tuberculosis (A16-A19),0,92511,158
Union,Tuberculosis (A16-A19),0,49906,160
Unknown,Tuberculosis (A16-A19),0,0,162
Van Wert,Tuberculosis (A16-A19),0,29182,164
Vinton,Tuberculosis (A16-A19),0,13566,166
Warren,Tuberculosis (A16-A19),0,205258,168
Washington,Tuberculosis (A16-A19),0,62253,170
Wayne,Tuberculosis (A16-A19),0,114224,172
Williams,Tuberculosis (A16-A19),0,38532,174
Wood,Tuberculosis (A16-A19),0,125285,176
Wyandot,Tuberculosis (A16-A19),0,22716,178
Adams,Syphilis (A50-A53),0,28538,184
Allen,Syphilis (A50-A53),0,106717,186
Ashland,Syphilis (A50-A53),0,53544,188
Ashtabula,Syphilis (A50-A53),0,102156,190
Athens,Syphilis (A50-A53),0,64102,192
Auglaize,Syphilis (A50-A53),0,45977,194
Belmont,Syphilis (A50-A53),0,70430,196
Brown,Syphilis (A50-A53),0,44490,198
Butler,Syphilis (A50-A53),0,361192,200
Carroll,Syphilis (A50-A53),0,29062,202
Champaign,Syphilis (A50-A53),0,40127,204
Clark,Syphilis (A50-A53),0,139829,206
Clermont,Syphilis (A50-A53),0,194346,208
Clinton,Syphilis (A50-A53),0,42576,210
Columbiana,Syphilis (A50-A53),0,109153,212
Coshocton,Syphilis (A50-A53),0,37184,214
Crawford,Syphilis (A50-A53),0,44634,216
Cuyahoga,Syphilis (A50-A53),0,1301540,218
Darke,Syphilis (A50-A53),0,52996,220
Defiance,Syphilis (A50-A53),0,39123,222
Delaware,Syphilis (A50-A53),0,161796,224
Erie,Syphilis (A50-A53),0,77668,226
Fairfield,Syphilis (A50-A53),0,142915,228
Fayette,Syphilis (A50-A53),0,28908,230
Franklin,Syphilis (A50-A53),0,1127174,232
Fulton,Syphilis (A50-A53),0,42800,234
Gallia,Syphilis (A50-A53),0,30977,236
Geauga,Syphilis (A50-A53),0,93742,238
Greene,Syphilis (A50-A53),0,159055,240
Guernsey,Syphilis (A50-A53),0,40531,242
Hamilton,Syphilis (A50-A53),1,801815,244
Hancock,Syphilis (A50-A53),0,74712,246
Hardin,Syphilis (A50-A53),0,32132,248
Harrison,Syphilis (A50-A53),0,15901,250
Henry,Syphilis (A50-A53),0,28671,252
Highland,Syphilis (A50-A53),0,43845,254
Hocking,Syphilis (A50-A53),0,29418,256
Holmes,Syphilis (A50-A53),0,41826,258
Huron,Syphilis (A50-A53),0,60086,260
Jackson,Syphilis (A50-A53),0,33144,262
Jefferson,Syphilis (A50-A53),0,70114,264
Knox,Syphilis (A50-A53),0,59843,266
Lake,Syphilis (A50-A53),0,228930,268
Lawrence,Syphilis (A50-A53),0,62748,270
Licking,Syphilis (A50-A53),0,162375,272
Logan,Syphilis (A50-A53),0,46154,274
Lorain,Syphilis (A50-A53),0,298609,276
Lucas,Syphilis (A50-A53),0,445482,278
Madison,Syphilis (A50-A53),0,42392,280
Mahoning,Syphilis (A50-A53),0,243453,282
Marion,Syphilis (A50-A53),0,66487,284
Medina,Syphilis (A50-A53),0,168775,286
Meigs,Syphilis (A50-A53),0,23612,288
Mercer,Syphilis (A50-A53),0,41055,290
Miami,Syphilis (A50-A53),0,102130,292
Monroe,Syphilis (A50-A53),0,14774,294
Montgomery,Syphilis (A50-A53),0,540667,296
Morgan,Syphilis (A50-A53),0,15175,298
Morrow,Syphilis (A50-A53),0,34937,300
Muskingum,Syphilis (A50-A53),0,85939,302
Noble,Syphilis (A50-A53),0,14614,304
NonOH,Syphilis (A50-A53),0,0,306
Ottawa,Syphilis (A50-A53),0,41690,308
Paulding,Syphilis (A50-A53),0,19735,310
Perry,Syphilis (A50-A53),0,35582,312
Pickaway,Syphilis (A50-A53),0,55044,314
Pike,Syphilis (A50-A53),0,28645,316
Portage,Syphilis (A50-A53),0,159148,318
Preble,Syphilis (A50-A53),0,42561,320
Putnam,Syphilis (A50-A53),0,34752,322
Richland,Syphilis (A50-A53),0,126995,324
Ross,Syphilis (A50-A53),0,77419,326
Sandusky,Syphilis (A50-A53),0,61571,328
Scioto,Syphilis (A50-A53),0,78775,330
Seneca,Syphilis (A50-A53),0,57289,332
Shelby,Syphilis (A50-A53),0,49284,334
Stark,Syphilis (A50-A53),0,376877,336
Summit,Syphilis (A50-A53),0,544275,338
Trumbull,Syphilis (A50-A53),0,214296,340
Tuscarawas,Syphilis (A50-A53),0,92511,342
Union,Syphilis (A50-A53),0,49906,344
Unknown,Syphilis (A50-A53),0,0,346
Van Wert,Syphilis (A50-A53),0,29182,348
Vinton,Syphilis (A50-A53),0,13566,350
Warren,Syphilis (A50-A53),0,205258,352
Washington,Syphilis (A50-A53),0,62253,354
Wayne,Syphilis (A50-A53),0,114224,356
Williams,Syphilis (A50-A53),0,38532,358
Wood,Syphilis (A50-A53),0,125285,360
Wyandot,Syphilis (A50-A53),0,22716,362
Adams,Human immunodeficiency virus (HIV) disease (B20-B24),0,28538,368
Allen,Human immunodeficiency virus (HIV) disease (B20-B24),2,106717,370
Ashland,Human immunodeficiency virus (HIV) disease (B20-B24),0,53544,372
Ashtabula,Human immunodeficiency virus (HIV) disease (B20-B24),1,102156,374
Athens,Human immunodeficiency virus (HIV) disease (B20-B24),0,64102,376
Auglaize,Human immunodeficiency virus (HIV) disease (B20-B24),0,45977,378
Belmont,Human immunodeficiency virus (HIV) disease (B20-B24),1,70430,380
Brown,Human immunodeficiency virus (HIV) disease (B20-B24),0,44490,382
Butler,Human immunodeficiency virus (HIV) disease (B20-B24),4,361192,384
Carroll,Human immunodeficiency virus (HIV) disease (B20-B24),0,29062,386
Champaign,Human immunodeficiency virus (HIV) disease (B20-B24),1,40127,388
Clark,Human immunodeficiency virus (HIV) disease (B20-B24),1,139829,390
Clermont,Human immunodeficiency virus (HIV) disease (B20-B24),0,194346,392
Clinton,Human immunodeficiency virus (HIV) disease (B20-B24),1,42576,394
Columbiana,Human immunodeficiency virus (HIV) disease (B20-B24),1,109153,396
Coshocton,Human immunodeficiency virus (HIV) disease (B20-B24),0,37184,398
Crawford,Human immunodeficiency virus (HIV) disease (B20-B24),0,44634,400
Cuyahoga,Human immunodeficiency virus (HIV) disease (B20-B24),39,1301540,402
Darke,Human immunodeficiency virus (HIV) disease (B20-B24),1,52996,404
Defiance,Human immunodeficiency virus (HIV) disease (B20-B24),0,39123,406
Delaware,Human immunodeficiency virus (HIV) disease (B20-B24),0,161796,408
Erie,Human immunodeficiency virus (HIV) disease (B20-B24),1,77668,410
Fairfield,Human immunodeficiency virus (HIV) disease (B20-B24),0,142915,412
Fayette,Human immunodeficiency virus (HIV) disease (B20-B24),2,28908,414
Franklin,Human immunodeficiency virus (HIV) disease (B20-B24),48,1127174,416
Fulton,Human immunodeficiency virus (HIV) disease (B20-B24),0,42800,418
Gallia,Human immunodeficiency virus (HIV) disease (B20-B24),0,30977,420
Geauga,Human immunodeficiency virus (HIV) disease (B20-B24),0,93742,422
Greene,Human immunodeficiency virus (HIV) disease (B20-B24),2,159055,424
Guernsey,Human immunodeficiency virus (HIV) disease (B20-B24),0,40531,426
Hamilton,Human immunodeficiency virus (HIV) disease (B20-B24),24,801815,428
Hancock,Human immunodeficiency virus (HIV) disease (B20-B24),1,74712,430
Hardin,Human immunodeficiency virus (HIV) disease (B20-B24),1,32132,432
Harrison,Human immunodeficiency virus (HIV) disease (B20-B24),0,15901,434
Henry,Human immunodeficiency virus (HIV) disease (B20-B24),0,28671,436
Highland,Human immunodeficiency virus (HIV) disease (B20-B24),0,43845,438
Hocking,Human immunodeficiency virus (HIV) disease (B20-B24),1,29418,440
Holmes,Human immunodeficiency virus (HIV) disease (B20-B24),0,41826,442
Huron,Human immunodeficiency virus (HIV) disease (B20-B24),0,60086,444
Jackson,Human immunodeficiency virus (HIV) disease (B20-B24),0,33144,446
Jefferson,Human immunodeficiency virus (HIV) disease (B20-B24),0,70114,448
Knox,Human immunodeficiency virus (HIV) disease (B20-B24),0,59843,450
Lake,Human immunodeficiency virus (HIV) disease (B20-B24),0,228930,452
Lawrence,Human immunodeficiency virus (HIV) disease (B20-B24),1,62748,454
Licking,Human immunodeficiency virus (HIV) disease (B20-B24),3,162375,456
Logan,Human immunodeficiency virus (HIV) disease (B20-B24),0,46154,458
Lorain,Human immunodeficiency virus (HIV) disease (B20-B24),7,298609,460
Lucas,Human immunodeficiency virus (HIV) disease (B20-B24),17,445482,462
Madison,Human immunodeficiency virus (HIV) disease (B20-B24),0,42392,464
Mahoning,Human immunodeficiency virus (HIV) disease (B20-B24),4,243453,466
Marion,Human immunodeficiency virus (HIV) disease (B20-B24),0,66487,468
Medina,Human immunodeficiency virus (HIV) disease (B20-B24),0,168775,470
Meigs,Human immunodeficiency virus (HIV) disease (B20-B24),0,23612,472
Mercer,Human immunodeficiency virus (HIV) disease (B20-B24),1,41055,474
Miami,Human immunodeficiency virus (HIV) disease (B20-B24),0,102130,476
Monroe,Human immunodeficiency virus (HIV) disease (B20-B24),0,14774,478
Montgomery,Human immunodeficiency virus (HIV) disease (B20-B24),12,540667,480
Morgan,Human immunodeficiency virus (HIV) disease (B20-B24),0,15175,482
Morrow,Human immunodeficiency virus (HIV) disease (B20-B24),1,34937,484
Muskingum,Human immunodeficiency virus (HIV) disease (B20-B24),0,85939,486
Noble,Human immunodeficiency virus (HIV) disease (B20-B24),0,14614,488
NonOH,Human immunodeficiency virus (HIV) disease (B20-B24),0,0,490
Ottawa,Human immunodeficiency virus (HIV) disease (B20-B24),0,41690,492
Paulding,Human immunodeficiency virus (HIV) disease (B20-B24),0,19735,494
Perry,Human immunodeficiency virus (HIV) disease (B20-B24),0,35582,496
Pickaway,Human immunodeficiency virus (HIV) disease (B20-B24),1,55044,498
Pike,Human immunodeficiency virus (HIV) disease (B20-B24),1,28645,500
Portage,Human immunodeficiency virus (HIV) disease (B20-B24),3,159148,502
Preble,Human immunodeficiency virus (HIV) disease (B20-B24),1,42561,504
Putnam,Human immunodeficiency virus (HIV) disease (B20-B24),0,34752,506
Richland,Human immunodeficiency virus (HIV) disease (B20-B24),0,126995,508
Ross,Human immunodeficiency virus (HIV) disease (B20-B24),1,77419,510
